time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2018-07-27 23:08:40,-119.7953,39.5683, 849.6, 1518, 35.4,  6.7,  6.7, 17, 17, 7.24,292, 4.6
2018-07-27 23:08:41,-119.7952,39.5683, 849.0, 1523, 35.3,  6.5,  6.5, 17, 17, 7.19,290, 4.7
2018-07-27 23:08:42,-119.7950,39.5683, 848.5, 1529, 35.2,  6.4,  6.4, 17, 17, 7.13,287, 4.7
2018-07-27 23:08:43,-119.7950,39.5683, 848.0, 1535, 35.1,  6.3,  6.3, 17, 17, 7.08,285, 4.8
2018-07-27 23:08:44,-119.7950,39.5683, 847.4, 1540, 35.0,  6.2,  6.2, 17, 17, 7.03,282, 4.8
2018-07-27 23:08:45,-119.7949,39.5684, 846.9, 1546, 34.9,  6.1,  6.1, 17, 17, 6.97,279, 4.9
2018-07-27 23:08:46,-119.7949,39.5684, 846.4, 1552, 34.8,  6.0,  6.0, 17, 17, 6.92,278, 4.9
2018-07-27 23:08:47,-119.7948,39.5684, 845.9, 1557, 34.7,  5.8,  5.8, 17, 17, 6.87,276, 5.0
2018-07-27 23:08:48,-119.7947,39.5684, 845.3, 1563, 34.6,  5.7,  5.7, 17, 17, 6.82,273, 5.1
2018-07-27 23:08:49,-119.7946,39.5684, 844.8, 1569, 34.5,  5.6,  5.6, 17, 17, 6.76,271, 5.3
2018-07-27 23:08:50,-119.7945,39.5684, 844.3, 1574, 34.4,  5.5,  5.5, 17, 17, 6.72,270, 5.4
2018-07-27 23:08:51,-119.7944,39.5684, 843.8, 1580, 34.3,  5.4,  5.4, 17, 17, 6.66,268, 5.5
2018-07-27 23:08:52,-119.7943,39.5685, 843.2, 1586, 34.2,  5.3,  5.3, 17, 17, 6.61,266, 5.6
2018-07-27 23:08:53,-119.7943,39.5685, 842.7, 1591, 34.1,  5.1,  5.1, 17, 17, 6.57,264, 5.7
2018-07-27 23:08:54,-119.7942,39.5685, 842.2, 1597, 34.0,  5.0,  5.0, 16, 16, 6.51,262, 5.9
2018-07-27 23:08:55,-119.7941,39.5686, 841.6, 1602, 33.9,  4.9,  4.9, 16, 16, 6.46,261, 6.0
2018-07-27 23:08:56,-119.7939,39.5686, 841.1, 1608, 33.8,  4.8,  4.8, 16, 16, 6.42,260, 6.1
2018-07-27 23:08:57,-119.7938,39.5686, 840.6, 1614, 33.7,  4.7,  4.7, 16, 16, 6.37,258, 6.2
2018-07-27 23:08:58,-119.7937,39.5686, 840.1, 1619, 33.6,  4.6,  4.6, 16, 16, 6.32,256, 6.4
2018-07-27 23:08:59,-119.7937,39.5686, 839.5, 1625, 33.5,  4.4,  4.4, 16, 16, 6.27,256, 6.5
2018-07-27 23:09:00,-119.7936,39.5686, 839.0, 1631, 33.4,  4.3,  4.3, 16, 16, 6.22,254, 6.6
2018-07-27 23:09:01,-119.7936,39.5686, 838.5, 1636, 33.3,  4.2,  4.2, 16, 16, 6.17,253, 6.8
2018-07-27 23:09:02,-119.7935,39.5686, 838.0, 1642, 33.2,  4.1,  4.1, 16, 16, 6.13,252, 7.0
2018-07-27 23:09:03,-119.7934,39.5687, 837.5, 1647, 33.1,  4.0,  4.0, 16, 16, 6.08,251, 7.1
2018-07-27 23:09:04,-119.7933,39.5688, 836.9, 1653, 33.0,  3.9,  3.9, 16, 16, 6.04,250, 7.1
2018-07-27 23:09:05,-119.7932,39.5688, 836.4, 1659, 32.9,  3.7,  3.7, 16, 16, 5.99,250, 7.2
